max_f,theta_idx,theta,eps_target,eps_pre,success,achieved_frob,f_level,N_D,method,wall,timed_out
1,44,0.699004365423729,0.5,0.25,True,0.11366630959274249,4,20,zeta9-householder,19.090450286865234,False
1,45,0.714712328691678,0.5,0.25,True,0.10968731436253588,4,20,zeta9-householder,18.590562105178833,False
1,46,0.730420291959627,0.5,0.25,True,0.10671885534387146,4,20,zeta9-householder,18.938388347625732,False
1,47,0.746128255227576,0.5,0.25,True,0.10484698862519146,4,20,zeta9-householder,18.08301591873169,False
1,48,0.7618362184955249,0.5,0.25,True,0.10413098565858428,4,20,zeta9-householder,18.446778297424316,False
1,49,0.7775441817634738,0.5,0.25,True,0.1045946306800219,4,20,zeta9-householder,18.437557458877563,False
1,50,0.7932521450314228,0.5,0.25,True,0.10622244975919158,4,20,zeta9-householder,18.146688222885132,False
1,51,0.8089601082993718,0.5,0.25,True,0.10896218244427831,4,20,zeta9-householder,18.486610412597656,False
1,52,0.8246680715673208,0.5,0.25,True,0.11273262842450857,4,20,zeta9-householder,17.043780088424683,False
1,53,0.8403760348352697,0.5,0.25,True,0.11743433142292796,4,20,zeta9-householder,17.0686457157135,False
1,54,0.8560839981032187,0.5,0.25,True,0.11990820898258729,4,20,zeta9-householder,17.90478205680847,False
1,55,0.8717919613711677,0.5,0.25,True,0.11480978143967495,4,19,zeta9-householder,17.581995725631714,False
1,56,0.8874999246391166,0.5,0.25,True,0.1105931845509809,4,19,zeta9-householder,16.997822046279907,False
1,57,0.9032078879070656,0.5,0.25,True,0.1073626418887307,4,20,zeta9-householder,17.680933952331543,False
1,58,0.9189158511750146,0.5,0.25,True,0.10520923229448116,4,20,zeta9-householder,17.69101643562317,False
1,59,0.9346238144429635,0.5,0.25,True,0.1041998933088147,4,20,zeta9-householder,17.950202465057373,False
1,60,0.9503317777109125,0.5,0.25,True,0.10436788552053158,4,20,zeta9-householder,17.879244327545166,False
1,61,0.9660397409788615,0.5,0.25,True,0.10570758575464263,4,19,zeta9-householder,17.243756771087646,False
1,62,0.9817477042468105,0.5,0.25,True,0.10817538943439076,4,19,zeta9-householder,17.530875205993652,False
1,63,0.9974556675147594,0.5,0.25,True,0.11169640347455354,4,20,zeta9-householder,16.78390860557556,False
1,64,1.0131636307827083,0.5,0.25,True,0.11617470009052876,4,20,zeta9-householder,16.734707832336426,False
1,65,1.0288715940506574,0.5,0.25,True,0.12150421847630201,4,19,zeta9-householder,16.8496150970459,False
1,66,1.0445795573186063,0.5,0.25,True,0.12757801891976353,4,19,zeta9-householder,18.287088871002197,False
